C002-13 Split A Run 1 abs. SM5420C-030-A  Sensor ID 1 Socket No. 1.txt																																																							
																																																							
Date: 	2/4/2013																																																						
Time: 	5:18:19 PM																																																						
Characterization #: 	C002-13																																																						
Split: 	A																																																						
Press. Type: 	abs.																																																						
Run Number: 	1																																																						
Part Type: 	SM5420C-030-A																																																						
Label:																																																							
Sensor ID: 	1																																																						
Socket No.: 	1																																																						
Note: 																																																							
Comment:	annual product audit																																																						
Software version #:	v2.2.0																																																						
																																																							
Pressure Hardware Configuration																																																							
Pressure Setup	Pressure Calibrator Control Channel	Regulation delay time [sec]	Pressure Chamber No.	Regular/Stability test																																																			
with Chamber	A	510	1	Regular																																																			
																																																							
Adjustement Heater																																																							
Max. temp deviation (past 5min) [∞C]	Max. Time [min]																																																						
0.0	300																																																						
																																																							
Supply configurations																																																							
VDD default [V]	VDD init [V]	Clamp current per Device [mA]	Clamp current Source [A]																																																				
5.00	5.00	3.00	0.060																																																				
																																																							
V_sub connection configuration																																																							
V_sub connection type	External voltage [V]																																																						
floating	N/A																																																						
																																																							
Adjustment Pressure Calibrator																																																							
Channel	Unit	Autorange	Range min	Range max	Pressure Type	Reference	Slew rate mode	Slew rate	Low overshoot	Precision	Stabelwindow [%/ FS]	Stable time [sec]	Lower Range limit	Upper Range limit	Filter	Volume [cc]																																							
A	PSI	ON	0.000	115.000	ABSOLUTE	ATM	Variable	11.523	Yes	6 d.p.	0.003	4	0.500	0.500	Normal	2000																																							
B	disabled																																																						
																																																							
Multimeter and bridge voltage measurement configuration																																																							
Resolution	Averaging voltage counts	Number: Power Line Cycles	Sensor output correction																																																				
6.5 digits	10	5.00	None																																																				
																																																							
Current measurement configuration																																																							
Averaging current counts																																																							
3																																																							
																																																							
Configuration Measurement Setup:																																																							
Test Point Number:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14																																								
Temperature Values [∞C]:	25.0	50.0	75.0	100.0	125.0	100.0	75.0	50.0	25.0	0.0	-25.0	-40.0	-25.0	0.0	25.0																																								
Pressure Values [PSI]:	0.500	15.000	30.000	30.000	15.000	0.500																																																	
Voltage Values [V]:	5.00																																																						
Leakage test pressure:	0.500 PSI																																																						
Barometer:	Enabled																																																						
																																																							
Pressure hysteresis measurement:																																																							
Hysteresis:	Disabled 																																																						
At Temp. points:	none																																																						
																																																							
Delay cycle configuration:																																																							
Delay before temperature point:	enabled 																																																						
At Temp. points:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14																																								
Waiting time [min]:	70																																																						
Power down at points:	none																																																						
Delay after temperature point:	not enabled  																																																						
At temp. points:	none																																																						
Waiting time [min]:	none																																																						
Power down at points:	none																																																						
																																																							
																																																							
Measurement results:																																																							
Characterization #	Split	Pressure Type	Run #	Part Type	Label	Sensor ID	Socket No.	Target temperature #	Target temperature [∞C]	Target pressure #	Target pressure [PSI]	Target VDD #	Target VDD [V]	Measure point ID	Chamber temperature [∞C]	RTD2 temperature [∞C]	Air flow temperature [∞C]	PT100_1 [∞C]	PT100_2 [∞C]	PT100_3 [∞C]	PT100_4 [∞C]	PT100_5 [∞C]	PT100_6 [∞C]	PT100_7 [∞C]	PT100_8 [∞C]	Actual supply VDD [V]	Actual supply current [mA]	Substrate voltage connection	Actual substrate voltage [V]	Regulator pressure channel	Regulator pressure [PSI]	Regulator pressure slew rate [PSI/sec]	Monitor pressure channel	Monitor pressure [PSI]	Monitor pressure slew rate [PSI/sec]	Barometer [PSI]	Average sensor output [mV]	Corrected sensor output (None) [mV]	Correction [mV]	Std. deviation [mV]	Min sensor output [mV]	Max sensor output [mV]	Sensor output variation range [mV]	VCM sensor output [V]	SIG+ abs. [V]	SIG- abs. [V]	Sensor current [mA]	Bridge resistance [Ohm]	Status oven error	Status calibrator error	Status GPIB error	 Status pressure control time	 Status pressure control loop	Date	Time
C002-13	A	abs. 	1	SM5420C-030-A		1	1	0	25.0	0	0.50	0	5.000	0	25.81	24.99	22.93	25.930	25.860	25.620	25.820	25.720	25.950	25.800	25.750	5.000677	20.367	floating	N/A	A	0.500040	-0.000142	disabled	0.000000	0.000000	14.75750	-12.25045	N/A	N/A	0.00195	-12.25314	-12.24789	0.00525	2.503966	2.497827	2.510104	1.03063	4852.068	0	0	0	0	0	2/4/2013	7:02:38 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	0	25.0	1	15.00	0	5.000	100	26.14	24.99	22.75	26.220	26.250	25.890	26.220	25.990	26.340	26.070	26.130	5.000679	20.339	floating	N/A	A	15.000600	0.000005	disabled	0.000000	0.000000	14.75650	32.12486	N/A	N/A	0.00141	32.12112	32.12645	0.00533	2.504666	2.520719	2.488614	1.02923	4858.675	0	0	0	0	0	2/4/2013	7:19:58 PM
